"Select City","Şehir Seçiniz"
"Select County","İlçe Seçiniz"
"Select Quantity","Lastik Adedi Seçiniz"
"Select","Seçiniz"
"Add to cart","Sepete Ekle"
"Choose Fitting Service","Lastik Takma Hizmeti Seçiniz"
"We have no fitting service in this location","Bu bölgede henüz hizmet vermemekteyiz. İlginize teşekkür ederiz. Telefon numaranızı yazıp ekiplerimizin geri dönüş yapmasını bekleyiniz."
"You should select fitting service","Takma Hizmeti Seçmelisiniz"
"Product Quantity","Ürün Adedİ Seç"
"KolayOto Price","KolayOto Fiyatı"
"Listing Price","Liste Fiyatı"
"You should select city and county","Şehir ve ilçe seçmelisiniz"
"You should select appointment date","Randevu tarihi seçmelisiniz"
"You should select city","Şehir seçmelisiniz"
"Telephone Number","Telefon Numaranız"
"We will contact with you as soon as possible","En kısa zamanda sizinle iletişime geçeceğiz"
"Select","Seçiniz"
"indirim","İNDİRİM"
"yerine","yerine"
"Teslimat şeklini seç","Teslimat şeklini seç"